hashid,Székhely,Létszám,TEÁOR 08 szerinti teáorszám(ok),Nettó árbevétel (eFt),Üzleti/üzemi eredmény (eFt),Adózott eredmény (eFt),Forgóeszközök (eFt),Követelések (eFt),Pénzeszközök (eFt),Eszközök összesen (eFt),Saját tőke (eFt),Hosszú lejáratú kötelezettségek (eFt),Rövid lejáratú kötelezettségek (eFt),Cégcsoport tag
94b3a5bd80,"1171 Budapest, Strázsahegy u. 19",26.0,4631,1317684.0,22358,19987,108358.0,101120.0,3158,125985.0,28420,28203,69362.0,0
f1efdcc494,"6000 Kecskemét, Szegedi út 88.",18.0,4730,1209202.0,-1453,13562,273641.0,123162.0,72380,778423.0,641367,0,46635.0,0
0864aea34a,"8912 Nagypáli, hrsz. 035A.",,4941,1750740.29999999,52103.52,-90560.8799999999,978801.84,0.0,0,1627614.72,-92731.86,132429.78,1587916.79999999,0
43e73d63ec,"7400 Kaposvár, Táncsics Mihály u. 49.",0.0,6920,1406960.0,99022,80431,422069.0,297495.0,124574,427500.0,376542,0,50958.0,0
1d143cb2fc,"1055 Budapest, Bajcsy-Zsilinszky út 78.",17.0,6810,7390680.0,-328953,-468196,11532276.0,116320.0,9784900,11551133.0,540840,21324,10954827.0,0
b5e49755ea,"1078 Budapest, Nefelejcs u. 42.",55.0,4120,4254577.0,46694,32272,3156721.0,1480484.0,217013,3619945.0,1350975,0,2212254.0,0
0699f87ada,"2030 Érd, Sas u. 2",106.0,3811,1365903.0,-99851,-105343,1126157.0,779677.0,345804,1451136.0,9395,3107,1277786.0,0
3d95147def,"2750 Nagykőrös, Árpád u. 11.",0.0,4623,1975817.0,0,0,405841.0,403435.0,2406,405860.0,2000,0,403860.0,0
5aef987346,"8800 Nagykanizsa, Teleki u. 21/a",179.0,2229,6828737.0,569234,521412,4125351.0,1585769.0,1563412,5526644.0,4703362,0,473637.0,0
6f9cba08ea,"1138 Budapest, Váci út 144-150. A. ép. 3. em.",0.0,6820,1303518.42,490641.48,281607.12,1303828.56,130879.079999999,1172949.48,11880532.9799999,2053436.94,9087722.28,479476.44,0
744f894720,"1083 Budapest, Füvészkert u. 3.",,4690,1292967.0,101983,163865,955420.0,306551.0,224763,1295052.0,851156,71727,368953.0,0
6298d4fb27,"1097 Budapest, Gubacsi út 28",103.0,4632,4808239.0,38468,25762,451168.0,253316.0,42980,777768.0,53541,191234,519182.0,0
bc9913db25,"6763 Szatymaz, II. körzet 95.",0.0,4631,2080177.0,-150341,-163335,588354.0,343863.0,21128,2854235.0,1658643,15047,884012.0,0
37564684eb,"6440 Jánoshalma, Rákóczi F u. 7",26.0,4621,4070661.0,39357,8879,826745.0,485111.0,1328,1511261.0,523524,42709,939950.0,0
59d5f54b90,"8248 Nemesvámos, Huszárok u. 3.",164.0,6820|2899,4767176.0,632621,582872,2805560.0,1214415.0,355270,4112212.0,1733619,333012,1774951.0,0
1a2a28d92a,"7700 Mohács, Pécsi út 74",65.0,7111,1984125.0,19768,14805,459247.0,267158.0,26524,698662.0,284284,49537,316988.0,0
bac235f024,"1142 Budapest, Szőnyi út 30-34.",16.0,7739,1606105.0,220496,193623,221539.0,72035.0,125055,1380891.0,1346912,0,28989.0,0
08e05dd610,"1222 Budapest, Nagytétényi út 29.",98.0,8211,2917391.0,72801,65931,596246.0,179991.0,416255,778772.0,154496,0,191516.0,0
577e2c73a5,"1155 Budapest, Wysocki u. 1",107.0,7739,2105566.0,285826,262165,577475.0,190526.0,380219,968238.0,542369,0,423130.0,0
c6d7735a6f,"2100 Godollo, Dozsa GY. u.63/A.",113.0,2630,1538467.0,92261,86052,1768184.0,555903.0,1136550,2028298.0,1367149,0,461503.0,0
b6b1cb7e74,"2536 Nyergesújfalu, Iparos utca 1.",76.0,1722|4690,2522138.0,-47981,-47914,1389266.0,652097.0,379055,4211569.0,1288971,2108327,782030.0,0
7d0bfebbdb,"7900 Szigetvár, József Attila u. 16.",3.0,4621,1956589.0,154555,139161,985828.0,664330.0,321498,1048101.0,413975,0,629290.0,0
a8da867be2,"1048 Budapest, Sárpatak u. 10. 4. em. 12.",50.0,5210,1204337.0,24193,21730,356859.0,333758.0,23101,390890.0,27676,0,355519.0,0
31cf3f6ee7,"1108 Budapest, Sírkert u. 2-4.",18.0,2454|4677,3013576.0,120352,97730,649422.0,290644.0,20440,1123903.0,384138,1174,735492.0,0
20573d0266,"2316 Tököl, Ráckevei u. 6.",45.0,1722,1356118.0,2548,2146,466283.0,195214.0,127017,1188517.0,822118,4584,348614.0,1
7dfe5a48ab,"8000 Székesfehérvár, Kadocsa u. 84.",,4773,1147239.0,3804,3422,118890.0,21904.0,20798,119320.0,17874,0,72386.0,0
3f1b9bdc00,"1055 Budapest, Bajcsy-Zsilinszky út 78",61.0,4941,1198152.0,3634,7381,320253.0,310067.0,10186,320253.0,247494,0,62528.0,0
8385dd51a6,"1142 Budapest, Tengerszem u. 64-68.",33.0,4669,2299157.0,134402,117589,742438.0,505874.0,93549,1217611.0,496798,163837,351524.0,0
a2c56aad5e,"1134 Budapest, Tüzér u. 41",486.0,6201,6397339.0,481528,431419,3873283.0,2861423.0,90,7926979.0,980418,0,5264517.0,0
a5090c5bf3,"2045 Törökbálint, Tó Park utca 3. (FORWARDERS'S PLAZA Irodaépület).",8.0,5229,4294329.0,-141365,-173581,816891.0,788824.0,28067,1579482.0,210915,313230,974302.0,0
09cb1e0b0b,"6000 Kecskemét, Paul Lechler utca 3.",79.0,2899,4875859.0,275437,251289,2205136.0,1341091.0,199193,3932324.0,1642780,456578,1687937.0,0
bc59f462a7,"1201 Budapest, Helsinki út 74",86.0,4649,2278521.0,106866,101282,904672.0,347304.0,12673,1656333.0,930698,45769,511061.0,0
6b83e3c7e9,"9024 Győr, Szauter Ferenc út 9.",78.0,6820,6656845.0,42440,26159,1313458.0,493655.0,68766,2164266.0,556130,62028,1533432.0,0
c12061340c,"4030 Debrecen, Ozmán u. 9.",85.0,4211,2475885.0,394583,376802,1042399.0,377876.0,581699,1741949.0,1267631,43588,414513.0,0
d0a5d55e3e,"1088 Budapest, Múzeum u. 7",51.0,5811,2807108.0,378385,425293,1608738.0,1075416.0,5567,1893175.0,828812,0,889130.0,0
2d3f487311,"9330 Kapuvár, Ipartelepi út 14",310.0,1051,3832106.0,297442,287716,714441.0,424966.0,44085,1129428.0,919868,0,114726.0,0
a9cbdeade2,"2120 Dunakeszi, Tallér u. 10.",23.0,4675,2957278.0,81374,71419,918541.0,452086.0,111515,995458.0,627875,0,355645.0,0
1944ae7339,"1068 Budapest, Dózsa György út 84. b. ép.",812.0,7022,8301904.0,163475,112330,478456.0,473728.0,4728,2072665.0,499398,0,487813.0,0
a6263ffc16,"1096 Budapest, Vendel u. 11.",3.0,4619,1726549.38,51173.1,53344.0799999999,605083.14,598880.34,6202.79999999999,606943.98,290291.04,0,277575.3,0
c61a95084e,"8200 Veszprém, Házgyári út 7.",13.0,4674,1017996.0,10603,34375,467799.0,185448.0,2387,485027.0,148698,0,331174.0,0
e00920781d,"3526 Miskolc, Mechatronikai Park 8.",46.0,2593,1240128.0,-262454,-277610,863088.0,665073.0,22358,2080038.0,-136336,196261,1898624.0,0
ed1f3f1f8d,"2724 Újlengyel, Petőfi Sándor utca 48.",4.0,7112|4671,1950396.0,-97713,-106303,1938414.0,1885117.0,53297,1941191.0,-314850,0,2255651.0,0
52f297db62,7741 Bogád 078/3.,41.0,1011,1083514.0,28845,20745,299265.0,167937.0,622,621973.0,224283,141193,256497.0,0
845a52ae1d,"1165 Budapest, Újszász u. 45/b. O. ép. 103772/29. em.",207.0,5629,1645972.0,25893,22188,342304.0,222359.0,103084,550170.0,183737,9815,351810.0,0
3997c41522,"1185 Budapest, BUD Nemzetközi Repülőtér",299.0,5223,2267093.0,-42125,-55908,442051.0,274825.0,142481,639912.0,117136,0,383464.0,0
aa29680ded,"3950 Sárospatak, Apróhomok 0455/2",112.0,141,1393261.0,110659,106612,1831758.0,192186.0,689390,4060922.0,3413746,473561,163993.0,0
0391b28537,"9400 Sopron, Besenyő u. 24. B. ép",86.0,2219,1614513.0,218697,203788,466766.0,177016.0,77520,549425.0,362925,1614,181849.0,0
ca978e3539,"6000 Kecskemét, Szent István kir. krt. 17/a.",62.0,1723,3651220.0,97077,125762,1117795.0,290956.0,3967,2475351.0,1471558,835122,140516.0,0
7fccbdf212,"4200 Hajdúszoboszló, Balmazújvárosi útfél 0544/74.",17.0,161,1281688.0,38312,35092,213296.0,68506.0,33077,631449.0,325649,192316,98431.0,0
01924dd115,"1097 Budapest, Gubacsi út 6b/1.",11.0,2829,1836358.0,198152,186558,1824750.0,440056.0,1379638,1906519.0,1764499,0,85614.0,0
d8ca93c17b,"1138 Budapest, Váci út 113.",170.0,4511,6882202.0,28882,7569,2419659.0,1603382.0,36740,2698771.0,260415,263611,2146581.0,0
3c714353c4,"4484 Ibrány, Ipartelep u. 6.",5.0,161,3243361.0,82793,78367,1493702.0,464964.0,297412,2300003.0,1159577,343286,725207.0,0
b58087433b,"8640 Fonyód, Harmatos út 56.",247.0,2611,1049265.0,45690,42284,167547.0,59628.0,107919,594508.0,174055,186084,202681.0,0
e668f6bb59,"9700 Szombathely, Március 15. tér 5/A.",91.0,3530,2451810.0,201535,178725,1442409.0,531328.0,842623,4879925.0,3637190,0,843604.0,0
1ca43abe4c,"1139 Budapest, Frangepán u. 7.",,5229|7733,4775022.0,196736,168605,1431680.0,1367109.0,42120,1737496.0,1051028,9634,570962.0,0
46f6e8c33c,"3400 Mezőkövesd, Eper u. 55.",120.0,2511,2155783.14,53964.36,45590.5799999999,451253.699999999,10544.76,1860.84,1980243.9,851954.58,574069.14,549878.22,0
a397cf4f88,"9023 Győr, Körkemence u. 8",0.0,3511|3512,1822567.0,997925,919710,1204098.0,277098.0,927000,4934001.0,1660743,944533,2324478.0,0
9e631c12dd,"1023 Budapest, Levél u. 4. 3. em. 5",1.0,8121,1262701.0,57476,52303,246606.0,237465.0,9141,252574.0,167558,0,48016.0,0
2e2683debe,"1037 Budapest, Szépvölgyi út 39.",109.0,7211,2117291.0,94746,91992,541768.0,236504.0,305264,727549.0,504573,0,59940.0,0
e01e720e06,"1141 Budapest, Paskál u. 28",16.0,4719,1158807.0,85775,70698,352625.0,61669.0,28555,383915.0,288797,7708,83258.0,0
24ed3e0610,"3100 Salgótarján, Rákóczi út 53-55.",664.0,2752,6539464.0,-765647,26606,4932002.0,1140140.0,1500484,8221649.0,2520955,3101400,2253574.0,0
5866d41fc9,"1143 Budapest, Stefánia út 75. fszt. 2.",6.0,4649,2367470.0,25635,2751,493402.0,275002.0,20982,652983.0,222942,279126,118455.0,0
13b4aed2d8,"6055 Felsőlajos, Közös 163",60.0,1012,4228445.0,64035,51162,821182.0,661162.0,67325,1414832.0,732500,68937,612894.0,0
41ad8b88f1,"2310 Szigetszentmiklós, Kereskedő u. 1.",11.0,4635,1028039.0,56562,40452,509259.0,85797.0,290538,527695.0,165175,0,361762.0,0
2abe867dc0,"9700 Szombathely, Szabó M. u. 50.",11.0,4638,1343075.0,78489,73295,396723.0,48205.0,30865,548331.0,230753,7414,191916.0,0
c9998312aa,"4765 Csenger, 0149/25 hrsz",9.0,4631,1501553.0,55578,30416,447156.0,402683.0,9892,633372.0,399132,67853,165883.0,0
437f2b4551,"1021 Budapest, Budakeszi út 51/d.",0.0,5911,1003155.0,11469,10263,218331.0,189011.0,28066,611822.0,498327,0,109707.0,0
1a640fe50b,"2112 Veresegyház, Lévai út 26",44.0,4941,1197837.0,9420,6923,52187.0,32316.0,14964,319536.0,94872,19220,205444.0,0
2c19d8e8a7,"1149 Budapest, Pillangó u. 2.",166.0,2511,2125608.0,5590,-14645,626495.0,242128.0,14194,1318611.0,700829,35890,560449.0,0
d1a223e396,"2724 Újlengyel, Ady Endre u. 15.",1.0,5913,5232015.36,99710.52,-23843.82,4710857.58,4113213.78,597334.14,5137259.4,838868.94,0,2913281.28,0
df0106793f,"7831 Pellérd, Iparterület út 5",63.0,2511,1039564.0,193123,186377,489804.0,42693.0,383505,576481.0,486095,0,74206.0,0
f5d9d757d1,"1024 Budapest, Tizedes u. 1.",,6209,3379000.0,3379000,2129000,2134.0,0.0,2134,2134.0,5,0,2129.0,0
4b18c04bbb,"6300 Kalocsa, Gombolyagi út 1.",114.0,2219,1382470.0,139,-2587,637236.0,199988.0,115358,1220273.0,721413,154075,182228.0,0
6c5108ce78,"1151 Budapest, Mogyoród útja 42. 20. ép.",,4651,1972025.0,6062,5570,78923.0,43317.0,20913,79101.0,10625,0,68476.0,0
16fed271bb,"9027 Győr, Juharfa u. 8.",154.0,2562,1932564.0,24376,23635,926891.0,540502.0,171571,2473784.0,1514846,242880,511177.0,0
c496f3a2e2,"1119 Budapest, Mohai út 26. fszt. 2.",12.0,5629,1125257.0,125146,118961,377452.0,244105.0,121763,394206.0,337046,0,56360.0,0
57fc626c1d,"7150 Bonyhád, Külterület 0539/4. hrsz.",46.0,141,1338318.0,218053,217476,1072428.0,269163.0,205988,2815108.0,1728323,494711,585262.0,0
9cbdbe8740,"1117 Budapest, Infopark sétány 1",58.0,7112,1335933.0,288750,258525,664372.0,568203.0,79252,734129.0,488805,12470,232435.0,0
569dc8b5b7,"1066 Budapest, Teréz krt. 42-44.",,6630,1257940.0,633354,603955,1749436.0,339555.0,141478,1830359.0,1681860,0,75878.0,0
2467815412,"2335 Taksony, Varsányi köz 2.",442.0,2630|0,1661933.0,12581,20505,197857.0,158015.0,23384,366357.0,236706,0,115960.0,0
df56566b90,"1184 Budapest, Vaslemez utca 31-33.",34.0,4329,1067055.0,44795,20406,177226.0,176147.0,1079,279704.0,42402,36000,199133.0,0
559c41e67a,"2724 Újlengyel, Temető u. 36",112.0,4639,6826867.0,151966,141019,1380381.0,745287.0,192106,1874149.0,235524,52090,1545883.0,0
c474fda5ed,"4762 Tyukod, Bem u. 85.",226.0,1039,6414005.34,221750.099999999,16747.5599999999,7487089.73999999,1239009.3,31324.14,9819342.54,839859.12,2155162.86,6628622.22,0
26c0c4a052,"1022 Budapest, Bimbó u. 4.",57.0,4729,2193748.0,137039,124374,553710.0,39311.0,245104,683807.0,343343,25244,310262.0,0
2f7210dd95,"4028 Debrecen, Nyíl u. 73-79.",48.0,4674,2371987.0,194580,165316,1209145.0,459856.0,222787,1228072.0,582214,318258,309812.0,0
e6f392c880,"1025 Budapest, Szépvölgyi út 92. G. ép",40.0,4110,2754719.0,181210,170336,1103876.0,581911.0,381095,1331983.0,430223,7133,893652.0,0
5db11daf79,"1097 Budapest, Gubacsi út 6. b/1. ép.",3.0,4531,3725198.0,189151,196187,2835076.0,2835076.0,0,2836668.0,1564648,0,1083785.0,0
1947abb0cc,"2100  Gödöllő, Dózsa György út 69.",325.0,3821,2365721.0,-57781,-57775,574833.0,204673.0,324682,914633.0,34225,0,830008.0,0
57306ee5b0,"2040 Budaörs, Szabadság út 142. 2. lház. 1. em. 1.",1.0,5229,1276424.0,31450,24880,769544.0,756181.0,13363,772052.0,27880,0,744172.0,0
5df62c4a52,"5100 Jászberény, Cserkész u. 11.",32.0,4623,1184639.0,17770,4859,287343.0,113721.0,21112,785069.0,185648,210513,388209.0,0
b574273e04,3022 Lőrinci. 2584B,21.0,4730,2162167.0,60890,120108,173396.0,70653.0,62438,521801.0,446287,25800,36619.0,0
6f22d2ceaa,"8912 Nagypáli, hrsz. 035A.",,4941,2049715.26,135841.32,-115061.939999999,924527.34,310.14,310.14,1934963.46,-124676.28,235086.12,1824553.61999999,0
d815ccc9db,"8700 Marcali, Marczali Henrik u. 9",160.0,1512,1098225.0,42935,41422,222049.0,107104.0,27842,413371.0,261766,3148,137148.0,0
000e45d43a,"2371 Dabas-Sári, Fehérakác u. 3.",79.0,4120,2239683.0,111956,100967,576788.0,200054.0,39386,929892.0,317825,77013,437754.0,0
504098dbd0,"6237 Kecel, Császártöltési u. 75.",6.0,4631,1393747.0,3538,2400,301937.0,203780.0,17055,365639.0,181751,0,182988.0,0
d8a99305a3,"6100 Kiskunfélegyháza, Szegedi út 77.",1025.0,1071,7029482.0,352533,314386,865830.0,431741.0,313291,3785158.0,1760765,839384,757909.0,0
cceb9efb02,"9352 Veszkény, Mező u. 2.",226.0,2562,3628266.0,267085,239499,1722874.0,812006.0,825751,4134802.0,2076564,538425,1346619.0,0
debef70f37,"1106 Budapest, Jászberényi út 24-36.",79.0,7112,1498348.0,-145282,-149059,380942.0,251806.0,4536,1621939.0,667242,175667,581755.0,0
4c29f6dc3a,"1133 Budapest, Dráva u. 12. 3. em. 61.",23.0,4690,1667601.0,73466,58727,628426.0,293810.0,9815,924372.0,281727,133807,503200.0,0
9da03e01da,"6762 Sándorfalva, Dózsa György u. 1/A.",4.0,4631,1597340.0,23156,7185,242466.0,170443.0,64221,2544934.0,102134,1270996,312622.0,0
8c16af4976,"1151 Budapest, Bogáncs u. 3",72.0,1082,2375034.0,17475,890,582988.0,360746.0,68043,1673637.0,637986,135228,775095.0,0
b27b903654,"3200 Gyöngyös, Kenyérgyár u. 17.",131.0,3530,1314885.0,15445,12969,605288.0,259258.0,321996,1253337.0,950274,0,263343.0,0
5c389aaf84,"3400 Mezőkövesd, Dózsa György út 38.",79.0,2562,1214179.0,171930,164400,506546.0,200780.0,137886,876635.0,700193,0,153586.0,0
2917f4375b,"1122 Budapest, Székács u. 9. B. ép. fszt.",78.0,2562,1046746.0,54225,52981,208467.0,168440.0,40027,253646.0,60410,0,188980.0,0
